x y
1390 4118322.910000
1400 4181282.060000
1410 4243105.050000
1420 4304142.090000
1430 4363515.850000
1440 4428355.430000
1450 4484885.370000
1460 4549137.590000
1470 4610672.470000
1480 4673913.690000
1490 4738622.090000
1500 4797740.430000
1510 4870545.870000
1520 4925180.000000
1530 5000169.520000
1540 5058184.220000
1550 5129079.570000
1560 5191928.320000
1570 5257678.360000
1580 5314664.600000
1590 5429748.790000
1600 5462485.400000
1610 5565115.880000
1620 5600316.220000
1630 5668299.100000
1640 5741338.810000
1650 5807047.830000
1660 5871592.460000
1670 5947953.700000
1680 6025039.120000
1690 6100477.480000
1700 6164499.970000
1710 6243440.870000
1720 6310707.050000
1730 6382477.560000
1740 6456591.190000
1750 6535340.430000
1760 6606175.430000
1770 6679784.590000
1780 6752293.800000
1790 6818173.760000
1800 6896789.980000
1810 6977147.910000
1820 7049197.080000
1830 7132334.560000
1840 7220273.710000
1850 7293362.490000
1860 7370329.960000
1870 7446356.240000
1880 7525894.990000
1890 7604567.440000
1900 7690292.600000
1910 7777217.890000
1920 7859882.450000
1930 7940443.290000
1940 8010831.210000
1950 8095114.970000
1960 8180015.380000
1970 8275292.490000
1980 8349185.420000
1990 8429259.170000
2000 8515159.600000
2010 8605733.350000
2020 8692680.400000
2030 8780179.590000
2040 8867912.910000
2050 8953436.220000
2060 9024807.050000
2070 9110381.720000
2080 9207284.640000
2090 9312333.680000
2100 9395967.130000
2110 9480800.000000
2120 9575470.390000
2130 9709000.020000
2140 9757206.290000
2150 9845977.480000
2160 9929772.510000
2170 10045099.210000
2180 10272817.520000
2190 10312165.440000
2200 10308728.400000
2210 10394743.350000
2220 10490095.820000
2230 10581548.320000
2240 10699746.660000
2250 10804636.650000
2260 10937890.400000
2270 11029070.450000
2280 11081431.610000
2290 11185713.740000
2300 11466207.940000
2310 11445130.880000
2320 11459357.090000
2330 11560464.630000
2340 11651645.020000
2350 11754207.500000
2360 11885919.990000
2370 12045342.060000
2380 12138824.660000
2390 12244302.880000
2400 12414318.740000
2410 12408942.530000
2420 12457652.500000
2430 12629179.960000
2440 12714225.840000
2450 12804335.790000
2460 12895798.750000
2470 13005105.860000
2480 13103157.490000
2490 13206418.740000
2500 13305741.260000
2510 13424207.150000
2520 13544056.630000
2530 13640022.110000
2540 13869225.420000
2550 13848147.920000
2560 13949101.160000
2570 14368439.950000
2580 14172143.330000
2590 14352959.620000
2600 14410568.360000
2610 14641278.740000
2620 14742232.020000
2630 14825514.180000
2640 14955376.690000
2650 14993714.570000
2660 15161378.400000
2670 15330028.710000
2680 15311290.830000
2690 15542073.340000
2700 15547097.930000
2710 15639104.610000
2720 15746417.900000
2730 15909828.400000
2740 16164527.880000
2750 16288070.420000
2760 16376428.350000
2770 16348975.510000
2780 16449903.280000
2790 16572268.810000
2800 16713321.270000
2810 16871231.300000
2820 16983989.200000
2830 17104543.410000
2840 17251917.970000
2850 17368753.370000
2860 17482668.740000
2870 17586025.450000
2880 17678107.500000
2890 17797979.130000
2900 17929772.900000
2910 18038549.130000
2920 18159566.680000
2930 18270019.510000
2940 18401288.330000
2950 18536178.370000
2960 18663249.130000
2970 18787544.950000
2980 18917508.770000
2990 19099608.770000
3000 19225597.120000
