x y
1600 5732253.320000
1610 5797685.010000
1620 5876079.220000
1630 5942425.880000
1640 6023799.970000
1650 6100482.080000
1660 6191267.900000
1670 6252147.910000
1680 6310413.010000
1690 6384159.130000
1700 6458261.310000
1710 6532708.730000
1720 6616621.680000
1730 6688550.040000
1740 6768004.490000
1750 6844180.020000
1760 6921646.310000
1770 7004989.150000
1780 7089798.750000
1790 7164477.050000
1800 7271353.800000
1810 7329948.740000
1820 7414595.340000
1830 7493378.380000
1840 7575693.320000
1850 7648311.230000
1860 7732104.550000
1870 7814770.770000
1880 7896083.320000
1890 7978691.350000
1900 8053765.060000
1910 8154586.650000
1920 8233968.320000
1930 8327179.580000
1940 8409084.210000
1950 8498410.020000
1960 8585685.840000
1970 8682213.680000
1980 8759519.200000
1990 8857853.770000
2000 8921482.900000
2010 9010140.860000
2020 9124389.160000
2030 9275881.220000
2040 9413331.210000
2050 9658172.130000
2060 9652013.320000
2070 9709280.830000
2080 9683588.400000
2090 9773365.430000
2100 9851725.850000
2110 9938063.760000
2120 10048642.040000
2130 10122115.830000
2140 10507759.520000
2150 10328676.660000
2160 10416277.070000
2170 10521471.260000
2180 10659533.390000
2190 10746696.350000
2200 10844844.620000
2210 10944939.960000
2220 11020032.090000
2230 11106397.540000
2240 11200511.290000
2250 11301128.730000
2260 11396944.990000
2270 11492456.240000
2280 11582339.520000
2290 11700795.430000
2300 11799005.510000
2310 11923832.510000
2320 12019198.340000
2330 12118674.230000
2340 12208777.530000
2350 12337863.260000
2360 12432347.080000
2370 12528727.530000
2380 12632544.950000
2390 12780825.790000
2400 12924926.740000
2410 13050393.730000
2420 13144471.700000
2430 13195158.760000
2440 13296270.070000
2450 13389958.360000
2460 13622694.960000
2470 13922075.800000
2480 13923075.910000
2490 13977867.560000
2500 14014479.980000
2510 14051748.330000
2520 14166717.520000
2530 14426888.370000
2540 14558942.490000
2550 14791823.340000
2560 14905642.080000
2570 14947516.310000
2580 15023124.950000
2590 15123165.420000
2600 15197797.870000
2610 15220720.010000
2620 15337867.100000
2630 15453584.660000
2640 15561326.220000
2650 15673107.140000
2660 15804888.350000
2670 15926631.660000
2680 16025966.710000
2690 16144770.360000
2700 16276415.480000
2710 16399202.500000
2720 16515279.620000
2730 16740021.650000
2740 16918458.360000
2750 17092286.280000
2760 17058159.610000
2770 17125733.340000
2780 17256385.810000
2790 17367094.990000
2800 17496660.000000
2810 17636770.460000
2820 17742702.060000
2830 17867527.150000
2840 18020127.540000
2850 18134049.600000
2860 18264817.870000
2870 18408439.590000
2880 18511515.790000
2890 18646881.270000
2900 18928074.570000
2910 19221351.640000
2920 19319077.460000
2930 19524324.950000
2940 19652113.760000
2950 19559559.180000
2960 19902006.660000
2970 20039333.360000
2980 19824367.910000
2990 19989213.710000
3000 20352795.830000
